volumes,gains
45,4
46,6
40,38
45,78
41,44
52,36
56,65
47,69
48,69
42,38
55,61
36,57
30,8
44,53
32,67
38,48
56,88
43,79
41,39
47,83
54,54
30,5
57,89
60,56
59,32
38,83
45,42
30,38
40,78
40,43
38,32
42,67
31,53
36,55
36,31
35,23
50,71
53,7
30,52
50,24
44,58
37,63
31,71
50,26
49,29
30,54
59,36
52,35
59,48
53,23
43,8
49,81
59,48
49,28
48,34
47,49
45,22
30,26
37,42
39,63
33,74
51,6
46,28
53,33
47,23
48,72
46,65
54,89
36,68
50,7
35,81
34,72
44,72
31,35
54,27
36,53
58,72
50,7
35,35
41,64
48,47
58,66
48,56
30,51
45,73
58,3
54,58
35,6
55,3
60,34
34,68
33,83
32,85
43,33
58,24
41,81
30,22
30,23
41,8
60,28
42,8
43,37
53,78
46,3
51,24
58,7
40,35
55,82
32,72
47,38
52,54
32,72
53,8
56,66
47,32
47,65
57,82
45,39
33,64
45,48
47,74
37,82
36,7
51,69
59,52
57,71
58,71
51,64
49,33
55,57
59,25
30,5
55,46
42,86
34,57
34,67
53,77
33,89
54,89
57,48
33,65
40,43
51,58
51,59
39,36
47,85
59,52
60,51
49,43
59,69
56,27
48,54
37,63
41,29
33,63
53,43
46,59
30,41
31,29
37,43
38,84
44,86
40,29
56,62
43,47
31,46
49,87
48,43
45,85
45,38
32,32
44,66
55,29
49,67
35,61
31,67
47,41
38,45
44,62
31,7
32,29
59,37
32,76
57,56
45,89
34,36
51,83
32,48
31,82
34,59
41,36
50,62
35,85
30,56
32,24
54,44
41,87
48,37
38,76
41,71
