volumes,gains
140,96
122,163
145,19
119,19
102,148
116,94
136,91
115,224
101,184
132,144
189,237
121,204
122,178
145,227
135,282
112,138
141,201
193,164
188,242
167,173
137,153
146,11
99,105
107,274
172,243
106,109
180,29
182,223
179,283
176,84
191,99
171,214
151,208
102,223
116,125
184,114
129,242
114,184
191,207
152,234
109,24
96,139
179,92
105,264
182,206
139,234
178,138
117,79
145,269
132,199
177,17
147,22
132,245
109,218
144,163
131,107
188,102
167,228
151,237
170,239
101,277
155,193
131,77
156,289
120,284
138,125
107,18
135,231
167,173
177,229
119,2
150,85
193,11
99,281
188,281
145,95
174,113
141,219
121,86
175,213
143,8
120,206
105,95
136,144
103,201
127,202
100,16
103,105
114,137
132,281
122,106
142,206
192,14
193,147
115,225
142,221
98,226
114,76
126,267
136,117
119,241
178,207
123,73
160,224
122,283
136,98
136,164
181,86
103,246
193,9
113,125
193,74
180,175
151,184
152,244
182,201
144,193
162,2
105,152
122,191
116,119
96,26
187,128
130,172
186,277
174,18
161,186
144,14
146,117
185,124
133,249
184,265
141,266
147,203
177,167
116,91
168,234
193,173
113,165
146,106
178,105
124,257
153,91
177,178
168,2
192,179
185,204
108,223
143,242
129,234
101,113
173,177
107,104
156,134
104,274
105,212
164,177
138,126
116,261
159,167
