volumes,gains
256,298
306,474
200,396
257,197
299,142
264,132
242,436
216,157
183,24
177,425
232,362
253,163
236,467
220,412
268,181
295,361
229,398
168,213
188,302
324,214
253,21
278,427
237,489
274,192
194,207
292,13
240,44
237,177
317,298
283,226
290,294
228,346
306,281
266,278
252,469
315,191
321,203
278,368
258,18
306,362
305,383
282,157
201,447
251,299
178,381
169,235
282,391
249,311
277,234
226,288
168,254
329,449
273,412
329,233
300,297
298,297
213,416
186,214
249,386
258,292
188,211
204,222
205,22
251,313
187,366
183,253
301,254
185,287
301,181
299,404
283,358
301,304
287,365
210,275
283,422
217,497
272,44
220,245
275,348
299,378
327,477
261,353
181,161
227,489
320,48
237,249
309,277
197,326
238,379
189,259
224,388
271,414
231,283
246,464
181,436
314,263
187,458
323,327
305,314
196,334
206,317
292,409
300,312
317,451
217,266
229,357
244,141
304,172
176,263
246,206
306,449
274,148
243,239
253,315
217,34
213,369
222,126
276,297
226,428
300,336
232,464
213,183
277,429
300,159
288,173
292,477
174,41
200,464
182,457
280,215
218,233
200,425
296,476
306,136
170,336
277,44
221,155
248,237
214,362
220,241
196,397
322,288
190,299
270,427
291,142
269,15
313,241
314,24
261,484
172,25
253,358
304,453
260,405
234,496
315,14
230,313
194,491
175,276
183,304
211,49
187,174
206,126
167,384
241,329
166,292
220,191
270,28
281,232
273,237
229,148
287,146
233,405
246,3
253,136
289,173
331,152
326,465
234,433
252,204
322,388
