volumes,gains
228,157
178,199
193,35
240,307
253,177
164,127
182,28
246,11
179,273
172,106
140,351
223,132
254,176
244,197
225,187
175,197
230,3
227,3
177,365
232,361
136,136
204,181
234,345
249,28
220,345
219,304
153,334
249,29
209,201
217,332
235,97
198,278
158,27
206,241
134,214
168,296
152,374
206,311
160,199
212,143
156,312
173,179
237,109
174,2
199,343
175,285
202,222
232,356
187,174
180,312
171,158
188,204
135,245
214,332
150,277
179,156
227,115
133,117
187,354
198,271
250,304
248,316
242,117
164,347
250,238
235,233
174,27
247,114
150,16
173,381
238,276
149,118
160,174
238,168
217,101
206,297
153,224
225,258
233,195
189,255
187,111
133,141
161,237
221,155
198,133
209,132
247,241
224,329
191,1
241,172
222,24
139,275
168,151
227,336
247,201
181,35
179,103
174,13
181,352
237,24
211,224
247,278
182,176
171,1
144,278
140,381
248,214
153,254
225,379
187,168
132,298
154,231
170,108
188,224
140,356
223,375
202,32
250,306
160,311
239,258
230,135
189,257
250,205
216,276
193,311
